rev_root_140
 1.0000000     0.0000000
 0.9906248     0.0032210
 0.9728602     0.0089396
 0.9509064     0.0155436
 0.9259348     0.0226988
 0.8993841     0.0302169
 0.8724583     0.0378208
 0.8454178     0.0454059
 0.8184311     0.0529371
 0.7915458     0.0603324
 0.7649621     0.0675195
 0.7385614     0.0744220
 0.7123524     0.0809840
 0.6861147     0.0872597
 0.6604492     0.0930838
 0.6350446     0.0983391
 0.6096305     0.1031172
 0.5842728     0.1073681
 0.5588361     0.1111103
 0.5333353     0.1143643
 0.5077959     0.1170880
 0.4821436     0.1193296
 0.4565245     0.1210803
 0.4309319     0.1222926
 0.4053501     0.1230049
 0.3799307     0.1231657
 0.3544827     0.1227842
 0.3292749     0.1218678
 0.3042214     0.1203464
 0.2793656     0.1182747
 0.2548698     0.1155546
 0.2305791     0.1122242
 0.2068114     0.1082691
 0.1835006     0.1036235
 0.1608803     0.0983567
 0.1390068     0.0923535
 0.1180218     0.0856960
 0.0981718     0.0783966
 0.0798038     0.0706278
 0.0633053     0.0625581
 0.0490946     0.0545769
 0.0373771     0.0469389
 0.0279822     0.0399237
 0.0206712     0.0336232
 0.0149937     0.0279608
 0.0105779     0.0229074
 0.0071572     0.0183569
 0.0045395     0.0142112
 0.0025742     0.0103923
 0.0011912     0.0068254
 0.0003390     0.0034798
 0.0000087     0.0003255
 0.0002200    -0.0027206
 0.0012042    -0.0057447
 0.0030036    -0.0086071
 0.0055341    -0.0112510
 0.0087924    -0.0136351
 0.0128456    -0.0157312
 0.0177922    -0.0176693
 0.0238115    -0.0195960
 0.0312816    -0.0214170
 0.0408212    -0.0231869
 0.0530586    -0.0248840
 0.0688850    -0.0263167
 0.0882345    -0.0274261
 0.1106946    -0.0279447
 0.1350085    -0.0278943
 0.1608601    -0.0273545
 0.1873196    -0.0263852
 0.2145330    -0.0251443
 0.2418609    -0.0236167
 0.2696819    -0.0219553
 0.2972870    -0.0201209
 0.3249865    -0.0182616
 0.3527627    -0.0163140
 0.3808359    -0.0143382
 0.4088283    -0.0123886
 0.4367440    -0.0104158
 0.4647567    -0.0085236
 0.4927908    -0.0066081
 0.5205844    -0.0048213
 0.5483232    -0.0030578
 0.5762149    -0.0013582
 0.6043076     0.0002811
 0.6321603     0.0018863
 0.6599279     0.0033686
 0.6875699     0.0048449
 0.7152358     0.0061557
 0.7428329     0.0074164
 0.7701385     0.0084165
 0.7972502     0.0092150
 0.8239606     0.0096316
 0.8504943     0.0097448
 0.8766560     0.0094171
 0.9023322     0.0086911
 0.9272710     0.0074887
 0.9507968     0.0057575
 0.9721882     0.0036406
 0.9902272     0.0012933
 1.0000000    -0.0001600
